Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-16T13:53:32.826Z;;;0,0;;Mala;Buena;Gabriel Alfonso;Dr Caballero;Todo 
2026-04-16T13:53:32.915Z;Mujer,Mayor;Partido Colorado;-27.3745211,-56.7996587;Maria Graciela;Buena;Mala;Jose Mutti;Hna de Diop;Limpieza y pago al personal 
2026-04-16T13:53:33.072Z;Mujer,Joven;Partido Colorado;-27.3743471,-56.7997909;Maria Graciela;Buena;Buena;;William AquÃ­no;Todos
2026-04-16T14:09:48.825Z;VarÃ³n,Joven;Partido Colorado;-27.3825062,-56.8075749;San JosÃ© Obrero;Mala;Muy Mala;Jose Mutti;Rodrigo ;Agua potable 
2026-04-16T14:11:34.901Z;VarÃ³n,Adulto Mayor;Partido Colorado;-27.3824767,-56.8076597;San JosÃ© Obrero;Buena;Mala;Jose Mutti;;Todo
2026-04-16T14:14:08.938Z;Mujer,Joven;Partido Colorado;-27.3830161,-56.8081438;San JosÃ© Obrero;Buena;Buena;Christian Rolon;Rodrigo benitez ;
2026-04-16T14:14:55.161Z;Mujer,Mayor;Partido Colorado;-27.3813583,-56.8066274;San JosÃ© Obrero;;;Jose Mutti;Lilio Alvarenga ;Agua
2026-04-16T14:14:55.536Z;;;0,0;;;;;NingÃºno;Todo
2026-04-16T14:14:55.800Z;Mujer,Mayor;Partido Colorado;-27.3821319,-56.8061193;San JosÃ© Obrero;Buena;Buena;Jose Mutti;Ninguno;Todo
2026-04-16T14:15:19.629Z;Mujer,Joven;;-27.3822145,-56.8059669;San JosÃ© Obrero;Buena;Buena;Christian Rolon;Ingrid  ostachup;Limpieza espacio pÃºblico playa parque
2026-04-16T14:17:27.420Z;VarÃ³n,Mayor;Partido Colorado;-27.3825284,-56.808322;San JosÃ© Obrero;Buena;Mala;Christian Rolon;Lilio alvarenga ;Asfalto 
2026-04-16T14:19:32.296Z;VarÃ³n,Adulto Mayor;Partido Colorado;-27.382507,-56.8083243;San JosÃ© Obrero;Buena;Buena;Jose Mutti;;Limpieza 
2026-04-16T14:21:22.926Z;VarÃ³n,Mayor;Partido Colorado;-27.3826689,-56.8090133;San JosÃ© Obrero;Buena;Mala;Jose Mutti;Marciano;Agua potable 
2026-04-16T14:23:04.683Z;Mujer,Joven;Partido Colorado;-27.3827034,-56.8093395;San JosÃ© Obrero;Buena;Buena;Christian Rolon;;Todo
2026-04-16T14:26:41.525Z;Mujer,Joven;Partido Colorado;-27.3824255,-56.8098979;San JosÃ© Obrero;Buena;Buena;Jose Mutti;Diego barreto;Basurero
2026-04-16T14:31:23.730Z;Mujer,Adulto Mayor;Partido Colorado;-27.3825013,-56.8101593;San JosÃ© Obrero;Excelente;Buena;Christian Rolon;Wil ;
2026-04-16T14:38:10.260Z;Mujer,Mayor;Partido Colorado;-27.3829805,-56.8118303;San JosÃ© Obrero;Mala;Mala;;;RecolecciÃ³n de basura 
