Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T15:36:06.702Z;;Partido Colorado;-27.396535,-56.865311;Lima;Buena;Muy Mala;Christian Rolon;Ninguno;Control de transporte y concienciacion vial
2026-04-11T14:18:43.238Z;Mujer, Joven;Partido Colorado;-27.404006,-56.861835;San José mi;Muy Mala;Muy Mala;;Ninguno;Camino
2026-04-11T14:19:20.410Z;Mujer, Mayor;Partido Colorado;-27.390499,-56.842384;San antonio;Muy Mala;Muy Mala;Jose Mutti;Diosnel Bogado;Recoleccion de Basura
2026-04-11T14:20:12.294Z;;Partido Colorado;-27.404143,-56.861287;San jose mi;Buena;Buena;Christian Rolon;Sofi;Agua potable
2026-04-11T14:21:45.836Z;Varón, Mayor;Partido Colorado;-27.404114,-56.861741;San José Mi;Mala;Buena;Jose Mutti;Ninguno;Camino
2026-04-11T14:22:48.866Z;;Partido Colorado;-27.404739,-56.861139;;Buena;Muy Mala;Christian Rolon;Wilian;En todo
2026-04-11T14:23:07.323Z;Varón, Mayor;Partido Colorado;-27.390747,-56.843049;San Antonio;Mala;Muy Mala;Jose Mutti;Ns nr;Todo
2026-04-11T14:25:04.272Z;Mujer, Mayor;Partido Colorado;-27.404218,-56.861888;San José mi;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T14:27:42.533Z;Mujer, Joven;Partido Colorado;-27.404568,-56.86197;San José mi;Buena;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T14:28:14.827Z;Mujer, Adulto Mayor;Partido Colorado;-27.39195,-56.844605;San Antonio;Mala;Mala;;Ns nr;Agua
2026-04-11T14:29:48.750Z;Varón, Mayor;Partido Colorado;-27.404918,-56.861864;San José mi;Buena;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T14:32:27.597Z;Varón, Mayor;Partido Colorado;-27.405186,-56.861895;San José Mi;Muy Mala;Muy Mala;Jose Mutti;Diego Barreto;Camino
2026-04-11T14:32:41.979Z;;Partido Colorado;-27.405829,-56.860921;San jose mi;Buena;Mala;Jose Mutti;;Limpieza publica
2026-04-11T14:34:12.116Z;Varón, Mayor;Partido Colorado;-27.39267,-56.845875;San Antonio;Mala;Muy Mala;Jose Mutti;Diosnel bogado;Documentos públicos
2026-04-11T14:36:19.021Z;Varón, Joven;Partido Colorado;-27.391614,-56.844004;San Antonio;Buena;Muy Mala;Christian Rolon;Willian Aquino;
2026-04-11T14:36:43.860Z;;Partido Colorado;-27.406357,-56.862041;San jose mi;Mala;Muy Mala;Jose Mutti;;Recolección de basura
2026-04-11T14:37:18.667Z;Mujer, Mayor;Partido Colorado;-27.405783,-56.862095;San José mi;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T14:39:38.883Z;;Partido Colorado;-27.406163,-56.861866;San jose mi;Buena;Buena;Christian Rolon;Wilfrido;Agua potable
2026-04-11T14:39:56.724Z;;;-27.3931,-56.846468;;Mala;Mala;;Ns nr;Todo
2026-04-11T14:43:52.396Z;Joven;Partido Colorado;-27.393695,-56.867633;Lima;Mala;Muy Mala;;Ninguna;Las vías publicas
2026-04-11T14:44:00.924Z;Varón, Mayor;Partido Colorado;-27.391969,-56.844674;San antonio;Buena;Buena;Jose Mutti;Willian Aquino;
2026-04-11T14:44:22.181Z;;Partido Colorado;-27.406132,-56.862433;San jose mi;Buena;Buena;Jose Mutti;;Alimentos escolares
2026-04-11T14:45:34.338Z;;Partido Colorado;-27.405791,-56.863448;;Mala;Muy Mala;Jose Mutti;;Rutas
2026-04-11T14:48:24.392Z;Mujer, Mayor;Partido Colorado;-27.393354,-56.867883;Lima;Mala;Buena;Christian Rolon;David Vega;Hermosear  y trabajo
2026-04-11T14:48:29.234Z;;Partido Colorado;-27.405595,-56.863396;San jose mi;Mala;Muy Mala;;Talavera;Todo
2026-04-11T14:48:57.658Z;Varón, Mayor;;-27.393428,-56.847008;;Buena;Buena;Christian Rolon;Jose Carozo;Todo
2026-04-11T14:51:31.216Z;Varón, Mayor;Partido Colorado;-27.393442,-56.867547;Lima;Excelente;Excelente;Christian Rolon;Dennis cardozo;Arreglo de vías públicas y limpieza
2026-04-11T14:56:35.208Z;Varón, Mayor;Partido Colorado;-27.393947,-56.867288;Lima;NS/NR;Buena;Jose Mutti;Ninguno;En todo
2026-04-11T14:59:30.375Z;Varón, Mayor;Partido Colorado;-27.394264,-56.867367;Lima;Excelente;Buena;Christian Rolon;Ninguno;En todo
2026-04-11T15:03:03.451Z;Mujer, Mayor;Partido Colorado;-27.393291,-56.846926;San antonio;Buena;Mala;Christian Rolon;Willian Aquino;Basura
2026-04-11T15:08:32.046Z;Varón, Joven;Partido Colorado;-27.394757,-56.849401;San antonio;Buena;Buena;Jose Mutti;Alvarenga;Todo
2026-04-11T16:54:49.913Z;Mujer, Joven;Partido Colorado;-27.399091,-56.859556;Lima;Mala;Muy Mala;Christian Rolon;Eladio Martinez;Limpieza recolección
2026-04-11T16:55:09.728Z;Mujer, Mayor;Partido Colorado;-27.398585,-56.858512;Lima;Mala;Muy Mala;Christian Rolon;Denis flores;Agua
2026-04-11T16:57:37.441Z;;Partido Colorado;-27.397894,-56.860098;Lima;Mala;Muy Mala;Christian Rolon;Gricelda;Agua potable
2026-04-11T16:58:12.181Z;Mujer, Mayor;Partido Colorado;-27.398238,-56.859226;Lima;Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T16:59:08.766Z;Varón, Mayor;Partido Colorado;-27.398457,-56.861495;Lima;Buena;Buena;Christian Rolon;William Aquino;Agua
2026-04-11T16:59:47.886Z;Mujer, Joven;Partido Colorado;-27.398846,-56.859632;Lima;NS/NR;Buena;Jose Mutti;Ninguno;Muchísimas cosas
2026-04-11T17:02:57.966Z;;Partido Colorado;-27.397735,-56.86069;Lima;Buena;Muy Mala;;;Limpieza
2026-04-11T17:03:15.839Z;Varón, Joven;Partido Colorado;-27.398201,-56.862759;Lima;Buena;Buena;Christian Rolon;Arnaldo Cardozo;Recoleccion de basura
2026-04-11T17:05:08.715Z;;Partido Colorado;-27.397645,-56.860787;Lima;Mala;Buena;;;Mejorar turismo
2026-04-11T17:06:07.373Z;Mujer;Partido Colorado;-27.398615,-56.860751;Lima;Mala;Mala;Jose Mutti;Luis Cuellar;Limpieza basura
2026-04-11T17:06:26.228Z;Mujer, Mayor;Partido Colorado;-27.397888,-56.860416;Lima;Mala;Mala;;Ninguno;Agua
2026-04-11T17:06:33.781Z;Mujer, Mayor;Partido Colorado;-27.391755,-56.865606;;Buena;Excelente;Christian Rolon;;Trabajos
2026-04-11T17:06:34.425Z;Mujer, Mayor;Partido Colorado;-27.397781,-56.863492;Lima;Muy Mala;Buena;Christian Rolon;Mario Cañete;Trabajo
2026-04-11T17:08:49.555Z;;Partido Colorado;-27.397419,-56.861589;Lima;Muy Mala;Muy Mala;Jose Mutti;Ramón palacios;Agua potable
2026-04-11T02:02:42.576Z;Varón;Partido Colorado;-26.886463,-56.854542;PABLO VI;;;Jose Mutti;;SALUD
2026-04-11T17:11:34.860Z;;Partido Colorado;-27.397236,-56.862088;Lima;Muy Mala;Muy Mala;Jose Mutti;Carlos ramirez;Agua potable
2026-04-11T17:12:37.063Z;Mujer, Joven;Partido Colorado;-27.397702,-56.861123;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T17:12:54.628Z;Mujer, Joven;Partido Colorado;-27.398253,-56.861625;Lima;Buena;Buena;;Ninguna;Nada
2026-04-11T17:14:21.971Z;Mujer, Mayor;Partido Colorado;-27.391913,-56.862876;Virgen del pilar;Buena;Buena;Jose Mutti;;Agua
2026-04-11T17:16:30.676Z;Varón, Mayor;Partido Colorado;-27.397575,-56.863541;Lima;Mala;Mala;Christian Rolon;Cañete;Recoleccion
2026-04-11T17:16:46.112Z;Mujer, Mayor;Partido Colorado;-27.391776,-56.862605;Virgen del pilar;NS/NR;Buena;;Ns nr;Agua, electricidad
2026-04-11T17:19:16.350Z;;Partido Colorado;-27.396509,-56.864088;Lima;Mala;Mala;;;Agua potable
2026-04-11T17:19:38.407Z;Varón, Joven;Partido Colorado;-27.396817,-56.863589;Lima;Buena;Buena;;Ninguno;Camino
2026-04-11T17:22:08.477Z;Mujer, Joven;Partido Colorado;-27.397347,-56.864286;Lima;Buena;Mala;Christian Rolon;William Aquino;Agua
2026-04-11T17:22:19.484Z;Joven, Varón;Partido Colorado;-27.398335,-56.862531;Lima;Mala;Mala;Jose Mutti;Alejandro Sanchez;Basura
2026-04-11T17:22:51.458Z;Varón, Joven;Partido Colorado;-27.39698,-56.863685;Lima;Mala;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T17:24:05.911Z;;Partido Colorado;-27.396023,-56.864466;Lima;Buena;;Jose Mutti;;Veredas
2026-04-11T17:26:52.571Z;Varón, Mayor;Partido Colorado;-27.396504,-56.864202;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T17:28:54.615Z;;Partido Colorado;-27.39529,-56.865085;Lima;Muy Mala;Buena;;;Agua potable
2026-04-11T17:30:16.365Z;;Partido Colorado;-27.395245,-56.865152;Lima;NS/NR;NS/NR;;;Todo
2026-04-11T17:30:28.254Z;Mujer;Partido Colorado;-27.397772,-56.863459;Lima;;;Jose Mutti;Benitez;
2026-04-11T17:34:37.110Z;;Partido Colorado;-27.394867,-56.865441;Lima;Mala;Muy Mala;;;Todo
2026-04-11T17:35:55.370Z;Varón, Joven;Partido Colorado;-27.395521,-56.864922;Lima;Mala;Muy Mala;Jose Mutti;Elias leguizamon;Camino
2026-04-11T17:36:06.641Z;Varón, Adulto Mayor;Partido Colorado;-27.388738,-56.866;Virgen del pilar;Buena;Buena;Christian Rolon;;Todo
2026-04-11T17:37:30.594Z;Varón, Mayor;Partido Colorado;-27.395663,-56.864838;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T17:39:29.558Z;Mujer, Mayor;Partido Colorado;-27.388769,-56.866245;;Muy Mala;Muy Mala;Jose Mutti;Marin;Agua
2026-04-11T17:43:56.205Z;Varón, Mayor;Partido Colorado;-27.387793,-56.865006;Virgen del pilar;Buena;Buena;Jose Mutti;Arnildo bernal;
2026-04-11T17:47:56.559Z;Mujer, Mayor;Partido Colorado;-27.387799,-56.864986;Yataity;Buena;Buena;Christian Rolon;Carlos Marin;Agua
2026-04-11T17:49:04.745Z;Mujer, Joven;Partido Colorado;-27.388116,-56.865159;Yataity;NS/NR;Mala;Jose Mutti;Mario Cañete;Humo
2026-04-11T17:51:19.579Z;Varón, Mayor;Partido Colorado;-27.387432,-56.865094;Yataity;Buena;Buena;Jose Mutti;Miguel Amarilla;Agua
2026-04-11T17:56:28.330Z;Mujer;Partido Colorado;-27.391862,-56.858012;;Buena;Muy Mala;Christian Rolon;Wlian;Mas trabajo
2026-04-11T17:57:47.177Z;Mujer, Mayor;Partido Colorado;-27.391637,-56.857807;Santa Ana;Buena;Buena;Christian Rolon;Cecilio Arias;Camino
2026-04-11T17:59:53.224Z;Mujer;Partido Colorado;-27.391938,-56.857687;Santa ana 100;;Mala;Jose Mutti;;Limpieza de basura
2026-04-11T18:00:37.311Z;Mujer, Mayor;Partido Colorado;-27.391436,-56.858046;Santa Ana;Mala;Muy Mala;Christian Rolon;Ninguno;Recolección de basura
2026-04-11T18:00:43.036Z;Varón, Adulto Mayor;Partido Colorado;-27.387112,-56.864314;Yataity;Mala;Mala;Jose Mutti;Wilfrido Jacquet;Agua
2026-04-11T18:02:14.274Z;Varón, Joven;Partido Colorado;-27.387253,-56.864398;Yat;;;Jose Mutti;Ning;Basura
2026-04-11T18:02:38.068Z;Mayor;Partido Colorado;-27.391878,-56.857014;100;Buena;Buena;Jose Mutti;Sofi;Falta de trabajo
2026-04-11T18:03:18.231Z;Mujer, Mayor;Partido Colorado;-27.391259,-56.858018;Santa Ana;Muy Mala;Muy Mala;Christian Rolon;Ninguno;Iluminación
2026-04-11T18:04:43.859Z;Mujer;;-27.391941,-56.85664;100;Buena;Mala;Christian Rolon;;Todo
2026-04-11T18:05:45.827Z;Mujer, Joven;Partido Colorado;-27.387259,-56.864248;Yat;Buena;Buena;Christian Rolon;N;Basura humo
2026-04-11T18:06:22.621Z;Mayor;Partido Colorado;-27.391909,-56.856619;100;Muy Mala;Muy Mala;Gabriel Alfonso;Jose gimenez;Todo
2026-04-11T18:08:13.567Z;Varón, Joven;Partido Colorado;-27.390848,-56.857561;Santa Ana;Mala;Buena;Christian Rolon;Miguel MArin;Camino
2026-04-11T18:08:24.625Z;Mujer, Mayor;Partido Colorado;-27.387118,-56.863616;Yataity;Mala;Mala;Christian Rolon;Luis cuellar;Agua
2026-04-11T18:09:33.925Z;Varón;Partido Colorado;-27.390789,-56.856974;100;Mala;Muy Mala;Jose Mutti;Carlos;La iluminación
2026-04-11T18:12:36.416Z;Varón, Mayor;Partido Colorado;-27.390587,-56.857373;Santa Ana;Mala;Muy Mala;Jose Mutti;Ninguna;Agua
2026-04-11T18:14:42.287Z;Varón, Mayor;Partido Colorado;-27.387207,-56.862586;Yataity;Mala;Mala;;;
2026-04-11T18:15:19.133Z;Varón, Mayor;Partido Colorado;-27.390677,-56.857246;Santa Ana;Mala;Mala;Jose Mutti;Sofia Troche;Recolección de basura
2026-04-11T18:18:03.738Z;Mujer;Partido Colorado;-27.390497,-56.856982;;Muy Mala;Muy Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T18:18:39.622Z;Mujer, Mayor;Partido Colorado;-27.390573,-56.857167;Santa Ana;Mala;Muy Mala;;Ninguna;Camino
2026-04-11T18:18:46.748Z;Mujer, Mayor;Partido Colorado;-27.387342,-56.863154;Yat;Mala;Muy Mala;;Sofia Troche;Agua
2026-04-11T18:18:55.308Z;Mujer, Mayor;Partido Colorado;-27.387395,-56.861943;Yataity;Muy Mala;Mala;Jose Mutti;Arnildo Bernal;Camino vecinal
2026-04-11T18:25:09.115Z;Varón;Otros;-26.889828,-56.851427;;;;Ninguno;Prueba;
2026-04-11T18:25:22.261Z;Mujer;Partido Colorado;-27.390395,-56.856639;Santa ana;Mala;Muy Mala;Gabriel Alfonso;;Agua potable
2026-04-11T18:26:47.407Z;Varón, Mayor;Partido Colorado;-27.390432,-56.85657;Santa Ana;Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T18:27:03.690Z;Varón, Mujer, Mayor;Partido Colorado;-27.387633,-56.862487;Yataity;Buena;Mala;Christian Rolon;William Rodriguez;Agua
2026-04-11T18:29:18.252Z;Varón;Partido Colorado;-27.390419,-56.855742;Santa ana;Mala;Mala;Jose Mutti;Marin;Agua potable
2026-04-11T18:29:31.121Z;Varón, Mayor;Partido Colorado;-27.390319,-56.856256;Santa Ana;Mala;Mala;;Ninguno;Agua
2026-04-11T18:29:40.058Z;Varón, Mayor;Partido Colorado;-27.387608,-56.861438;Yataity;Muy Mala;Muy Mala;Christian Rolon;;Agua
2026-04-11T18:29:54.775Z;Varón, Mayor;Partido Colorado;-27.387207,-56.863945;Yat;NS/NR;NS/NR;Jose Mutti;Sofia Troche;
2026-04-11T18:31:54.022Z;Varón, Mayor;Partido Colorado;-27.387746,-56.864887;Yat;Buena;Buena;Christian Rolon;Ning;Caminos
2026-04-11T18:32:08.950Z;Mujer, Mayor;Partido Colorado;-27.387231,-56.861208;Yataity;Mala;Mala;Christian Rolon;WILLIAN AQUINO;Agua
2026-04-11T18:33:11.082Z;Mujer, Joven;Partido Colorado;-27.39021,-56.856058;Santa Ana;Mala;Mala;Jose Mutti;Ninguno;Agua
2026-04-11T18:38:26.812Z;Mujer;Partido Colorado;-27.389772,-56.855832;Santa ana;Muy Mala;Muy Mala;Jose Mutti;;Alimentación escolar
2026-04-11T18:41:23.737Z;Mayor;Partido Colorado;-27.389758,-56.856182;Santa ana;Mala;Buena;;;Salud
2026-04-11T18:52:07.454Z;Varón, Adulto Mayor;Partido Colorado;-27.379203,-56.845109;Sirena;Mala;Buena;Jose Mutti;CACERES;Fuente trabajo
2026-04-11T18:52:27.124Z;;Partido Colorado;-27.379629,-56.843838;;Muy Mala;Muy Mala;;Denis dior;Todo
2026-04-11T18:53:12.377Z;Mujer, Joven;Partido Colorado;-27.379032,-56.84419;Sirena;Mala;Muy Mala;Christian Rolon;Edgardo Villalba;Recolección de basura
2026-04-11T18:55:36.521Z;Mujer, Joven;Partido Colorado;-27.378869,-56.844919;Sirena;Mala;Buena;Jose Mutti;;Trabajo
2026-04-11T18:55:51.351Z;Mujer, Mayor;Partido Colorado;-27.378803,-56.84411;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T18:55:53.377Z;;Partido Colorado;-27.379658,-56.843205;;Mala;Mala;Jose Mutti;;
2026-04-11T18:56:44.425Z;Mujer, Joven;Partido Colorado;-27.378881,-56.846299;Sirena;Buena;Buena;Jose Mutti;Shirley Dioff;Apoya a emprendedores
2026-04-11T18:57:47.762Z;Varón, Mayor;Partido Colorado;-27.378864,-56.84414;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T18:59:25.876Z;;Partido Colorado;-27.37975,-56.84205;;Buena;Muy Mala;Jose Mutti;Hugo ramirez;Todo
2026-04-11T19:00:26.239Z;Mujer, Mayor;Partido Colorado;-27.378288,-56.844661;Sirena;Buena;Buena;Jose Mutti;Elias Leguizamon;Agua
2026-04-11T19:00:27.312Z;Mujer, Joven;Partido Colorado;-27.379249,-56.846837;Sirena;Buena;Excelente;Christian Rolon;Ninguna;Centro de salud
2026-04-11T19:03:34.132Z;Mujer, Mayor;Partido Colorado;-27.378429,-56.844669;Sirena;Muy Mala;Muy Mala;Jose Mutti;William Aquino;Caminos vecinales
2026-04-11T19:04:35.615Z;Varón, Mayor;Partido Colorado;-27.377966,-56.843905;Sirena;Mala;Muy Mala;Jose Mutti;Ninguno;Recolección de basura
2026-04-11T19:06:03.058Z;Mujer, Joven;Partido Colorado;-27.37828,-56.846311;Yat;Buena;Mala;Jose Mutti;Elias Leguizamon;Los caminos
2026-04-11T19:06:08.351Z;Varón, Mayor;Partido Colorado;-27.378239,-56.844508;Sirena;Mala;Muy Mala;Jose Mutti;WILLIAN RODRIGUEZ;Agua
2026-04-11T19:07:50.460Z;Varón, Mayor;Partido Colorado;-27.377662,-56.843675;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T19:08:58.137Z;Varón, Mayor;Partido Colorado;-27.378365,-56.846204;Sirena;NS/NR;NS/NR;;Ninguna;Baches agua
2026-04-11T19:11:08.858Z;Mayor;Partido Colorado;-27.378201,-56.846338;Sirena;Mala;Mala;Jose Mutti;Ninguna;Fuente de trabajo y pago de sueldo
2026-04-11T00:11:30.375Z;Mujer, Joven;Partido Colorado;-26.887508,-57.022703;San Roque;;;Christian Rolon;William;agua potable
2026-04-11T00:16:14.531Z;Varón, Joven;Partido Colorado;-26.887489,-57.022661;San Roque;;;Jose Mutti;gabriel;agua
2026-04-13T11:26:54.786Z;Mujer, Mayor;Partido Colorado;-27.382033,-56.845038;Núcleo 1;Buena;Mala;Jose Mutti;Carlos Hijo de la profe Celeste;Recolección de basura
2026-04-13T11:27:48.584Z;Mayor;Partido Colorado;-27.382515,-56.846116;Núcleo 1;Buena;Buena;;;Todo
2026-04-13T11:35:15.366Z;Mujer, Mayor;Partido Colorado;-27.382141,-56.844554;;Buena;Mala;;Hugiyo ramirez;Agua y luz
2026-04-13T11:39:56.294Z;Mujer, Mayor;Partido Colorado;-27.382117,-56.846223;Núcleo 1;Buena;Mala;Jose Mutti;Sofia Troche;Agua, recolección de basura a tiempo
2026-04-13T11:48:18.590Z;Mujer, Joven;Partido Colorado;-27.383328,-56.845792;Lote 4;Muy Mala;Muy Mala;;;Todo
2026-04-13T11:51:41.130Z;Mayor;Partido Colorado;-27.384104,-56.846003;Núcleo 1;Buena;Muy Mala;Christian Rolon;;Recolección de basura
2026-04-13T11:56:06.274Z;;Partido Colorado;-27.384224,-56.846738;Núcleo 1;;Muy Mala;;Arnildo;Todo
2026-04-13T11:58:20.577Z;Mujer;Partido Colorado;-27.384531,-56.846702;Núcleo 1;NS/NR;NS/NR;;;Rutas
2026-04-13T12:01:59.560Z;Joven, Mujer;Partido Colorado;-27.38465,-56.845806;Núcleo 1;Mala;Muy Mala;Jose Mutti;Wilian;Las rutas
2026-04-13T12:02:52.060Z;Mujer, Mayor;Partido Colorado;-27.38355,-56.844372;Núcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo
2026-04-13T12:03:46.950Z;;Partido Colorado;-27.384654,-56.845736;Núcleo 1;Mala;Mala;Jose Mutti;Wilian;Todo
2026-04-13T12:13:53.574Z;Mujer, Mayor;Partido Colorado;-27.384333,-56.844637;Núcleo 1;Buena;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:23:31.396Z;Varón, Joven;Partido Colorado;-27.382538,-56.845171;;Mala;Buena;Jose Mutti;Diego Barreto;Todos
2026-04-13T12:32:04.867Z;Mujer, Joven;Partido Colorado;-27.384031,-56.848677;Núcleo 2;;;;;
2026-04-13T12:32:25.831Z;Mayor;Partido Colorado;-27.386516,-56.847158;Núcleo 2;Mala;Mala;Jose Mutti;Amarilla;Todo
2026-04-13T12:32:31.134Z;Adulto Mayor, Varón;Partido Colorado;-27.385123,-56.847751;Núcleo 2;Mala;Mala;Jose Mutti;Miguel savala;Trabajos
2026-04-13T12:34:25.633Z;Mujer, Mayor;Partido Colorado;-27.384233,-56.848688;Núcleo 2;Buena;;Christian Rolon;Ning;Aseo urbano educación vial
2026-04-13T12:35:44.527Z;Mujer, Adulto Mayor;Partido Colorado;-27.384497,-56.847212;;Buena;Mala;Christian Rolon;;Todo
2026-04-13T12:40:12.149Z;Mujer, Mayor;;-27.384168,-56.846964;Núcleo 2;Muy Mala;Muy Mala;;;Todo
2026-04-13T12:40:20.752Z;Varón, Mayor;Partido Colorado;-27.38441,-56.849073;Núcleo 2;Buena;Muy Mala;Jose Mutti;Sra de Caballero;Pago de personal
2026-04-13T12:42:04.446Z;Mujer;Partido Colorado;-27.386119,-56.847825;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:43:20.114Z;Mujer;Partido Colorado;-27.386086,-56.847862;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:43:20.130Z;Varón, Joven;Partido Colorado;-27.384571,-56.849468;Núcleo 2;;Buena;Christian Rolon;Beby cardoso;
2026-04-13T12:49:40.605Z;;Partido Colorado;-27.384351,-56.849567;Núcleo 3;Mala;Mala;;N;Todo
2026-04-13T12:51:43.340Z;Mayor;Partido Colorado;-27.385815,-56.847156;Núcleo 2;Buena;Muy Mala;Jose Mutti;Diosnel;Recolección de basura
2026-04-13T12:54:10.454Z;Mujer, Joven;Partido Colorado;-27.384874,-56.848345;Núcleo 2;Mala;Buena;Jose Mutti;;Agua
2026-04-13T12:57:21.764Z;Mujer;Partido Colorado;-27.385223,-56.848654;Núcleo 2;Muy Mala;Muy Mala;Jose Mutti;Barrero;Todo
2026-04-13T12:57:49.847Z;Mujer, Mayor;Partido Colorado;-27.383827,-56.849283;Núcleo 2;Excelente;Excelente;Jose Mutti;Ninguno;Pago de personales
2026-04-13T13:01:03.409Z;;;-27.384136,-56.8485;Núcleo 2;Mala;Mala;Jose Mutti;Ramirez;Salud, hambre
2026-04-13T13:01:27.430Z;Mujer, Mayor;Partido Colorado;-27.383603,-56.849265;Núcleo 2;Buena;Buena;Christian Rolon;Ningún;Recolección de basura
2026-04-13T13:03:04.893Z;Joven, Varón;Partido Colorado;-27.38437,-56.848983;Núcleo 2;Buena;Muy Mala;Christian Rolon;;Recolección de basura
2026-04-13T13:05:51.526Z;Mujer, Joven;Partido Colorado;-27.383811,-56.84798;Núcleo 2;Mala;Buena;;;Recolección de basura, cuidado a las infraestructuras
2026-04-13T13:09:43.712Z;Mujer, Mayor;Partido Colorado;-27.383557,-56.848759;Núcleo 2;Mala;Mala;;Ning;Todos
2026-04-13T13:18:53.369Z;Joven;Partido Colorado;-27.38683,-56.849981;Núcleo 3;Mala;Mala;;Carlos ramirez;Señalizacion
2026-04-13T13:20:00.226Z;Mujer, Joven;Partido Colorado;-27.386269,-56.850692;Núcleo 3;Buena;Mala;Christian Rolon;;Todo
2026-04-13T13:20:50.873Z;Mujer, Adulto Mayor;Partido Colorado;-27.386236,-56.850761;Núcleo 3;Mala;Buena;;Doctora talavera;Todo
2026-04-13T13:22:52.845Z;Varón;Partido Colorado;-27.386954,-56.850053;Núcleo 3;Excelente;Excelente;Christian Rolon;2A opinión 6;Recolección de basura
2026-04-13T13:26:40.159Z;Varón, Mayor;Partido Colorado;-27.387002,-56.849787;Núcleo 3;Muy Mala;Muy Mala;Jose Mutti;Gricelda talavera;Todo
2026-04-13T13:29:29.433Z;Mujer, Mayor;Partido Colorado;-27.385775,-56.850393;Núcleo 4;Buena;Buena;;Ingrid;Recolección
2026-04-13T13:32:28.428Z;Mujer, Mayor;Partido Colorado;-27.385571,-56.850152;Núcleo 4;Muy Mala;Mala;Jose Mutti;Hugo ramirez;Recolección
