Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Ubicación de la Encuesta;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T14:19:20.410Z;Mujer, Mayor;Partido Colorado;-27.3904993,-56.8423842;San antonio;Muy Mala;Muy Mala;Jose Mutti;Diosnel Bogado;Recoleccion de Basura
2026-04-11T14:20:12.294Z;;Partido Colorado;-27.4041435,-56.8612866;San jose mi;Buena;Buena;Christian Rolon;Sofi;Agua potable
2026-04-11T14:21:45.836Z;Varón, Mayor;Partido Colorado;-27.404113553399807,-56.86174092751455;San José Mi;Mala;Buena;Jose Mutti;Ninguno;Camino
2026-04-11T14:22:48.866Z;;Partido Colorado;-27.4047385,-56.8611391;;Buena;Muy Mala;Christian Rolon;Wilian;En todo
2026-04-11T14:23:07.323Z;Varón, Mayor;Partido Colorado;-27.390747,-56.8430486;San Antonio;Mala;Muy Mala;Jose Mutti;Ns nr;Todo
2026-04-11T14:25:04.272Z;Mujer, Mayor;Partido Colorado;-27.404217857368813,-56.86188800173899;San José mi;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T14:27:42.533Z;Mujer, Joven;Partido Colorado;-27.404568047548366,-56.86197004357829;San José mi;Buena;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T14:28:14.827Z;Mujer, Adulto Mayor;Partido Colorado;-27.3919498,-56.8446045;San Antonio;Mala;Mala;;Ns nr;Agua
2026-04-11T14:29:48.750Z;Varón, Mayor;Partido Colorado;-27.4049176232877,-56.86186357629915;San José mi;Buena;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T14:32:27.597Z;Varón, Mayor;Partido Colorado;-27.405185654226056,-56.861894874299615;San José Mi;Muy Mala;Muy Mala;Jose Mutti;Diego Barreto;Camino
2026-04-11T14:32:41.979Z;;Partido Colorado;-27.4058291,-56.8609211;San jose mi;Buena;Mala;Jose Mutti;;Limpieza publica
2026-04-11T14:34:12.116Z;Varón, Mayor;Partido Colorado;-27.39267,-56.8458755;San Antonio;Mala;Muy Mala;Jose Mutti;Diosnel bogado;Documentos públicos
2026-04-11T14:36:19.021Z;Varón, Joven;Partido Colorado;-27.3916144,-56.844004;San Antonio;Buena;Muy Mala;Christian Rolon;Willian Aquino;
2026-04-11T14:36:43.860Z;;Partido Colorado;-27.4063574,-56.8620412;San jose mi;Mala;Muy Mala;Jose Mutti;;Recolección de basura
2026-04-11T14:37:18.667Z;Mujer, Mayor;Partido Colorado;-27.405782610341642,-56.86209535778314;San José mi;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T14:39:38.883Z;;Partido Colorado;-27.4061627,-56.8618655;San jose mi;Buena;Buena;Christian Rolon;Wilfrido;Agua potable
2026-04-11T14:39:56.724Z;;;-27.3930998,-56.8464676;;Mala;Mala;;Ns nr;Todo
2026-04-11T14:43:52.396Z;Joven;Partido Colorado;-27.3936951,-56.8676326;Lima;Mala;Muy Mala;;Ninguna;Las vías publicas
2026-04-11T14:44:00.924Z;Varón, Mayor;Partido Colorado;-27.3919687,-56.8446741;San antonio;Buena;Buena;Jose Mutti;Willian Aquino;
2026-04-11T14:44:22.181Z;;Partido Colorado;-27.4061315,-56.8624329;San jose mi;Buena;Buena;Jose Mutti;;Alimentos escolares
2026-04-11T14:45:34.338Z;;Partido Colorado;-27.4057909,-56.8634476;;Mala;Muy Mala;Jose Mutti;;Rutas
2026-04-11T14:48:24.392Z;Mujer, Mayor;Partido Colorado;-27.3933541,-56.8678831;Lima;Mala;Buena;Christian Rolon;David Vega;Hermosear  y trabajo
2026-04-11T14:48:29.234Z;;Partido Colorado;-27.4055954,-56.863396;San jose mi;Mala;Muy Mala;;Talavera;Todo
2026-04-11T14:48:57.658Z;Varón, Mayor;;-27.3934285,-56.8470077;;Buena;Buena;Christian Rolon;Jose Carozo;Todo
2026-04-11T14:51:31.216Z;Varón, Mayor;Partido Colorado;-27.3934415,-56.8675465;Lima;Excelente;Excelente;Christian Rolon;Dennis cardozo;Arreglo de vías públicas y limpieza
2026-04-11T14:56:35.208Z;Varón, Mayor;Partido Colorado;-27.3939475,-56.8672883;Lima;NS/NR;Buena;Jose Mutti;Ninguno;En todo
2026-04-11T14:59:30.375Z;Varón, Mayor;Partido Colorado;-27.3942637,-56.8673673;Lima;Excelente;Buena;Christian Rolon;Ninguno;En todo
2026-04-11T15:03:03.451Z;Mujer, Mayor;Partido Colorado;-27.3932908,-56.8469262;San antonio;Buena;Mala;Christian Rolon;Willian Aquino;Basura
2026-04-11T15:08:32.046Z;Varón, Joven;Partido Colorado;-27.3947566,-56.8494005;San antonio;Buena;Buena;Jose Mutti;Alvarenga;Todo
2026-04-11T16:54:49.913Z;Mujer, Joven;Partido Colorado;-27.3990914,-56.8595559;Lima;Mala;Muy Mala;Christian Rolon;Eladio Martinez;Limpieza recolección
2026-04-11T16:55:09.728Z;Mujer, Mayor;Partido Colorado;-27.39858457811447,-56.85851209924371;Lima;Mala;Muy Mala;Christian Rolon;Denis flores;Agua
2026-04-11T16:57:37.441Z;;Partido Colorado;-27.3978942,-56.8600982;Lima;Mala;Muy Mala;Christian Rolon;Gricelda;Agua potable
2026-04-11T16:58:12.181Z;Mujer, Mayor;Partido Colorado;-27.39823762862592,-56.859225926674675;Lima;Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T16:59:08.766Z;Varón, Mayor;Partido Colorado;-27.3984567,-56.8614946;Lima;Buena;Buena;Christian Rolon;William Aquino;Agua
2026-04-11T16:59:47.886Z;Mujer, Joven;Partido Colorado;-27.3988456,-56.8596324;Lima;NS/NR;Buena;Jose Mutti;Ninguno;Muchísimas cosas
2026-04-11T17:02:57.966Z;;Partido Colorado;-27.3977349,-56.8606901;Lima;Buena;Muy Mala;;;Limpieza
2026-04-11T17:03:15.839Z;Varón, Joven;Partido Colorado;-27.3982005,-56.862759;Lima;Buena;Buena;Christian Rolon;Arnaldo Cardozo;Recoleccion de basura
2026-04-11T17:05:08.715Z;;Partido Colorado;-27.3976451,-56.8607866;Lima;Mala;Buena;;;Mejorar turismo
2026-04-11T17:06:07.373Z;Mujer;Partido Colorado;-27.3986149,-56.8607505;Lima;Mala;Mala;Jose Mutti;Luis Cuellar;Limpieza basura
2026-04-11T17:06:26.228Z;Mujer, Mayor;Partido Colorado;-27.397887936730477,-56.86041627181986;Lima;Mala;Mala;;Ninguno;Agua
2026-04-11T17:06:33.781Z;Mujer, Mayor;Partido Colorado;-27.3917553,-56.8656057;;Buena;Excelente;Christian Rolon;;Trabajos
2026-04-11T17:06:34.425Z;Mujer, Mayor;Partido Colorado;-27.397781,-56.8634922;Lima;Muy Mala;Buena;Christian Rolon;Mario Cañete;Trabajo
2026-04-11T17:08:49.555Z;;Partido Colorado;-27.397419,-56.8615888;Lima;Muy Mala;Muy Mala;Jose Mutti;Ramón palacios;Agua potable
2026-04-11T02:02:42.576Z;Varón;Partido Colorado;-26.886463059397656,-56.85454230845701;PABLO VI;;;Jose Mutti;;SALUD
2026-04-11T17:11:34.860Z;;Partido Colorado;-27.3972364,-56.8620884;Lima;Muy Mala;Muy Mala;Jose Mutti;Carlos ramirez;Agua potable
2026-04-11T17:12:37.063Z;Mujer, Joven;Partido Colorado;-27.3977020859371,-56.86112303570069;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T17:12:54.628Z;Mujer, Joven;Partido Colorado;-27.3982534,-56.8616254;Lima;Buena;Buena;;Ninguna;Nada
2026-04-11T17:14:21.971Z;Mujer, Mayor;Partido Colorado;-27.3919127,-56.8628758;Virgen del pilar;Buena;Buena;Jose Mutti;;Agua
2026-04-11T17:16:30.676Z;Varón, Mayor;Partido Colorado;-27.3975753,-56.863541;Lima;Mala;Mala;Christian Rolon;Cañete;Recoleccion
2026-04-11T17:16:46.112Z;Mujer, Mayor;Partido Colorado;-27.3917757,-56.8626054;Virgen del pilar;NS/NR;Buena;;Ns nr;Agua, electricidad
2026-04-11T17:19:16.350Z;;Partido Colorado;-27.3965086,-56.8640884;Lima;Mala;Mala;;;Agua potable
2026-04-11T17:19:38.407Z;Varón, Joven;Partido Colorado;-27.396816630045,-56.86358913938975;Lima;Buena;Buena;;Ninguno;Camino
2026-04-11T17:22:08.477Z;Mujer, Joven;Partido Colorado;-27.3973472,-56.864286;Lima;Buena;Mala;Christian Rolon;William Aquino;Agua
2026-04-11T17:22:19.484Z;Joven, Varón;Partido Colorado;-27.3983346,-56.8625306;Lima;Mala;Mala;Jose Mutti;Alejandro Sanchez;Basura
2026-04-11T17:22:51.458Z;Varón, Joven;Partido Colorado;-27.396980137739142,-56.86368480645706;Lima;Mala;Muy Mala;Jose Mutti;Ninguno;Camino
2026-04-11T17:24:05.911Z;;Partido Colorado;-27.3960229,-56.8644662;Lima;Buena;;Jose Mutti;;Veredas
2026-04-11T17:26:52.571Z;Varón, Mayor;Partido Colorado;-27.396504081419177,-56.864202084256796;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T17:28:54.615Z;;Partido Colorado;-27.3952901,-56.8650852;Lima;Muy Mala;Buena;;;Agua potable
2026-04-11T17:30:16.365Z;;Partido Colorado;-27.3952445,-56.8651516;Lima;NS/NR;NS/NR;;;Todo
2026-04-11T17:30:28.254Z;Mujer;Partido Colorado;-27.3977724,-56.8634593;Lima;;;Jose Mutti;Benitez;
2026-04-11T17:34:37.110Z;;Partido Colorado;-27.3948673,-56.8654411;Lima;Mala;Muy Mala;;;Todo
2026-04-11T17:35:55.370Z;Varón, Joven;Partido Colorado;-27.39552055538877,-56.864922028698984;Lima;Mala;Muy Mala;Jose Mutti;Elias leguizamon;Camino
2026-04-11T17:36:06.641Z;Varón, Adulto Mayor;Partido Colorado;-27.388738,-56.8659997;Virgen del pilar;Buena;Buena;Christian Rolon;;Todo
2026-04-11T17:37:30.594Z;Varón, Mayor;Partido Colorado;-27.395663118844002,-56.86483758834036;Lima;Muy Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T17:39:29.558Z;Mujer, Mayor;Partido Colorado;-27.3887687,-56.8662449;;Muy Mala;Muy Mala;Jose Mutti;Marin;Agua
2026-04-11T17:43:56.205Z;Varón, Mayor;Partido Colorado;-27.387793,-56.8650059;Virgen del pilar;Buena;Buena;Jose Mutti;Arnildo bernal;
2026-04-11T17:47:56.559Z;Mujer, Mayor;Partido Colorado;-27.3877992,-56.8649857;Yataity;Buena;Buena;Christian Rolon;Carlos Marin;Agua
2026-04-11T17:49:04.745Z;Mujer, Joven;Partido Colorado;-27.3881164,-56.8651588;Yataity;NS/NR;Mala;Jose Mutti;Mario Cañete;Humo
2026-04-11T17:51:19.579Z;Varón, Mayor;Partido Colorado;-27.3874323,-56.8650945;Yataity;Buena;Buena;Jose Mutti;Miguel Amarilla;Agua
2026-04-11T17:56:28.330Z;Mujer;Partido Colorado;-27.3918615,-56.8580118;;Buena;Muy Mala;Christian Rolon;Wlian;Mas trabajo
2026-04-11T17:57:47.177Z;Mujer, Mayor;Partido Colorado;-27.39163711148714,-56.85780685896884;Santa Ana;Buena;Buena;Christian Rolon;Cecilio Arias;Camino
2026-04-11T17:59:53.224Z;Mujer;Partido Colorado;-27.3919375,-56.8576872;Santa ana 100;;Mala;Jose Mutti;;Limpieza de basura
2026-04-11T18:00:37.311Z;Mujer, Mayor;Partido Colorado;-27.39143621146509,-56.858045633572324;Santa Ana;Mala;Muy Mala;Christian Rolon;Ninguno;Recolección de basura
2026-04-11T18:00:43.036Z;Varón, Adulto Mayor;Partido Colorado;-27.3871118,-56.8643145;Yataity;Mala;Mala;Jose Mutti;Wilfrido Jacquet;Agua
2026-04-11T18:02:14.274Z;Varón, Joven;Partido Colorado;-27.3872527,-56.8643984;Yat;;;Jose Mutti;Ning;Basura
2026-04-11T18:02:38.068Z;Mayor;Partido Colorado;-27.3918776,-56.8570139;100;Buena;Buena;Jose Mutti;Sofi;Falta de trabajo
2026-04-11T18:03:18.231Z;Mujer, Mayor;Partido Colorado;-27.391259362170636,-56.858018356542594;Santa Ana;Muy Mala;Muy Mala;Christian Rolon;Ninguno;Iluminación
2026-04-11T18:04:43.859Z;Mujer;;-27.3919414,-56.8566399;100;Buena;Mala;Christian Rolon;;Todo
2026-04-11T18:05:45.827Z;Mujer, Joven;Partido Colorado;-27.387259,-56.8642477;Yat;Buena;Buena;Christian Rolon;N;Basura humo
2026-04-11T18:06:22.621Z;Mayor;Partido Colorado;-27.3919094,-56.8566187;100;Muy Mala;Muy Mala;Gabriel Alfonso;Jose gimenez;Todo
2026-04-11T18:08:13.567Z;Varón, Joven;Partido Colorado;-27.39084813918871,-56.85756097651701;Santa Ana;Mala;Buena;Christian Rolon;Miguel MArin;Camino
2026-04-11T18:08:24.625Z;Mujer, Mayor;Partido Colorado;-27.3871182,-56.863616;Yataity;Mala;Mala;Christian Rolon;Luis cuellar;Agua
2026-04-11T18:09:33.925Z;Varón;Partido Colorado;-27.3907891,-56.8569741;100;Mala;Muy Mala;Jose Mutti;Carlos;La iluminación
2026-04-11T18:12:36.416Z;Varón, Mayor;Partido Colorado;-27.390587101676065,-56.857373370800595;Santa Ana;Mala;Muy Mala;Jose Mutti;Ninguna;Agua
2026-04-11T18:14:42.287Z;Varón, Mayor;Partido Colorado;-27.3872072,-56.8625858;Yataity;Mala;Mala;;;
2026-04-11T18:15:19.133Z;Varón, Mayor;Partido Colorado;-27.390677275791088,-56.85724560334454;Santa Ana;Mala;Mala;Jose Mutti;Sofia Troche;Recolección de basura
2026-04-11T18:18:03.738Z;Mujer;Partido Colorado;-27.3904974,-56.8569823;;Muy Mala;Muy Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T18:18:39.622Z;Mujer, Mayor;Partido Colorado;-27.39057270123674,-56.85716673695742;Santa Ana;Mala;Muy Mala;;Ninguna;Camino
2026-04-11T18:18:46.748Z;Mujer, Mayor;Partido Colorado;-27.3873417,-56.8631542;Yat;Mala;Muy Mala;;Sofia Troche;Agua
2026-04-11T18:18:55.308Z;Mujer, Mayor;Partido Colorado;-27.3873947,-56.8619433;Yataity;Muy Mala;Mala;Jose Mutti;Arnildo Bernal;Camino vecinal
2026-04-11T18:25:09.115Z;Varón;Otros;-26.8898279,-56.8514267;;;;Ninguno;Prueba;
2026-04-11T18:25:22.261Z;Mujer;Partido Colorado;-27.3903947,-56.8566395;Santa ana;Mala;Muy Mala;Gabriel Alfonso;;Agua potable
2026-04-11T18:26:47.407Z;Varón, Mayor;Partido Colorado;-27.390431572250122,-56.85657000023172;Santa Ana;Mala;Muy Mala;Jose Mutti;Ninguno;Agua
2026-04-11T18:27:03.690Z;Varón, Mujer, Mayor;Partido Colorado;-27.3876335,-56.8624865;Yataity;Buena;Mala;Christian Rolon;William Rodriguez;Agua
2026-04-11T18:29:18.252Z;Varón;Partido Colorado;-27.3904187,-56.8557425;Santa ana;Mala;Mala;Jose Mutti;Marin;Agua potable
2026-04-11T18:29:31.121Z;Varón, Mayor;Partido Colorado;-27.390318756353597,-56.85625560580597;Santa Ana;Mala;Mala;;Ninguno;Agua
2026-04-11T18:29:40.058Z;Varón, Mayor;Partido Colorado;-27.3876085,-56.8614375;Yataity;Muy Mala;Muy Mala;Christian Rolon;;Agua
2026-04-11T18:29:54.775Z;Varón, Mayor;Partido Colorado;-27.3872074,-56.8639445;Yat;NS/NR;NS/NR;Jose Mutti;Sofia Troche;
2026-04-11T18:31:54.022Z;Varón, Mayor;Partido Colorado;-27.3877455,-56.8648868;Yat;Buena;Buena;Christian Rolon;Ning;Caminos
2026-04-11T18:32:08.950Z;Mujer, Mayor;Partido Colorado;-27.3872311,-56.8612082;Yataity;Mala;Mala;Christian Rolon;WILLIAN AQUINO;Agua
2026-04-11T18:33:11.082Z;Mujer, Joven;Partido Colorado;-27.39021000226267,-56.8560579845082;Santa Ana;Mala;Mala;Jose Mutti;Ninguno;Agua
2026-04-11T18:38:26.812Z;Mujer;Partido Colorado;-27.3897718,-56.8558318;Santa ana;Muy Mala;Muy Mala;Jose Mutti;;Alimentación escolar
2026-04-11T18:41:23.737Z;Mayor;Partido Colorado;-27.3897576,-56.8561817;Santa ana;Mala;Buena;;;Salud
2026-04-11T18:52:07.454Z;Varón, Adulto Mayor;Partido Colorado;-27.3792029,-56.8451088;Sirena;Mala;Buena;Jose Mutti;CACERES;Fuente trabajo
2026-04-11T18:52:27.124Z;;Partido Colorado;-27.3796291,-56.843838;;Muy Mala;Muy Mala;;Denis dior;Todo
2026-04-11T18:53:12.377Z;Mujer, Joven;Partido Colorado;-27.37903236459584,-56.84419006472278;Sirena;Mala;Muy Mala;Christian Rolon;Edgardo Villalba;Recolección de basura
2026-04-11T18:55:36.521Z;Mujer, Joven;Partido Colorado;-27.378869,-56.844919;Sirena;Mala;Buena;Jose Mutti;;Trabajo
2026-04-11T18:55:51.351Z;Mujer, Mayor;Partido Colorado;-27.378802507236607,-56.84411005941506;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T18:55:53.377Z;;Partido Colorado;-27.3796584,-56.8432053;;Mala;Mala;Jose Mutti;;
2026-04-11T18:56:44.425Z;Mujer, Joven;Partido Colorado;-27.3788806,-56.8462985;Sirena;Buena;Buena;Jose Mutti;Shirley Dioff;Apoya a emprendedores
2026-04-11T18:57:47.762Z;Varón, Mayor;Partido Colorado;-27.378863874493444,-56.844139878204935;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T18:59:25.876Z;;Partido Colorado;-27.3797502,-56.8420503;;Buena;Muy Mala;Jose Mutti;Hugo ramirez;Todo
2026-04-11T19:00:26.239Z;Mujer, Mayor;Partido Colorado;-27.3782882,-56.8446613;Sirena;Buena;Buena;Jose Mutti;Elias Leguizamon;Agua
2026-04-11T19:00:27.312Z;Mujer, Joven;Partido Colorado;-27.3792488,-56.8468371;Sirena;Buena;Excelente;Christian Rolon;Ninguna;Centro de salud
2026-04-11T19:03:34.132Z;Mujer, Mayor;Partido Colorado;-27.3784295,-56.8446692;Sirena;Muy Mala;Muy Mala;Jose Mutti;William Aquino;Caminos vecinales
2026-04-11T19:04:35.615Z;Varón, Mayor;Partido Colorado;-27.377965885404585,-56.84390526574191;Sirena;Mala;Muy Mala;Jose Mutti;Ninguno;Recolección de basura
2026-04-11T19:06:03.058Z;Mujer, Joven;Partido Colorado;-27.3782805,-56.8463112;Yat;Buena;Mala;Jose Mutti;Elias Leguizamon;Los caminos
2026-04-11T19:06:08.351Z;Varón, Mayor;Partido Colorado;-27.3782386,-56.8445082;Sirena;Mala;Muy Mala;Jose Mutti;WILLIAN RODRIGUEZ;Agua
2026-04-11T19:07:50.460Z;Varón, Mayor;Partido Colorado;-27.37766249763766,-56.84367496268459;Sirena;Mala;Muy Mala;;Ninguno;Camino
2026-04-11T19:08:58.137Z;Varón, Mayor;Partido Colorado;-27.3783646,-56.8462043;Sirena;NS/NR;NS/NR;;Ninguna;Baches agua
2026-04-11T19:11:08.858Z;Mayor;Partido Colorado;-27.3782013,-56.8463381;Sirena;Mala;Mala;Jose Mutti;Ninguna;Fuente de trabajo y pago de sueldo
2026-04-11T00:16:14.531Z;Varón, Joven;Partido Colorado;-26.8874887,-57.0226614;San Roque;;;Jose Mutti;gabriel;agua
2026-04-13T11:26:54.786Z;Mujer, Mayor;Partido Colorado;-27.3820328,-56.8450381;Núcleo 1;Buena;Mala;Jose Mutti;Carlos Hijo de la profe Celeste;Recolección de basura
2026-04-13T11:27:48.584Z;Mayor;Partido Colorado;-27.3825148,-56.846116;Núcleo 1;Buena;Buena;;;Todo
2026-04-13T11:35:15.366Z;Mujer, Mayor;Partido Colorado;-27.3821407,-56.8445543;;Buena;Mala;;Hugiyo ramirez;Agua y luz
2026-04-13T11:39:56.294Z;Mujer, Mayor;Partido Colorado;-27.3821171,-56.8462229;Núcleo 1;Buena;Mala;Jose Mutti;Sofia Troche;Agua, recolección de basura a tiempo
2026-04-13T11:48:18.590Z;Mujer, Joven;Partido Colorado;-27.383328,-56.8457922;Lote 4;Muy Mala;Muy Mala;;;Todo
2026-04-13T11:51:41.130Z;Mayor;Partido Colorado;-27.3841042,-56.846003;Núcleo 1;Buena;Muy Mala;Christian Rolon;;Recolección de basura
2026-04-13T11:56:06.274Z;;Partido Colorado;-27.3842241,-56.846738;Núcleo 1;;Muy Mala;;Arnildo;Todo
2026-04-13T11:58:20.577Z;Mujer;Partido Colorado;-27.3845305,-56.8467018;Núcleo 1;NS/NR;NS/NR;;;Rutas
2026-04-13T12:01:59.560Z;Joven, Mujer;Partido Colorado;-27.3846501,-56.8458061;Núcleo 1;Mala;Muy Mala;Jose Mutti;Wilian;Las rutas
2026-04-13T12:02:52.060Z;Mujer, Mayor;Partido Colorado;-27.3835497,-56.8443725;Núcleo 1;Buena;Buena;Jose Mutti;William Aquino;Todo
2026-04-13T12:03:46.950Z;;Partido Colorado;-27.384654,-56.8457356;Núcleo 1;Mala;Mala;Jose Mutti;Wilian;Todo
2026-04-13T12:13:53.574Z;Mujer, Mayor;Partido Colorado;-27.3843334,-56.8446374;Núcleo 1;Buena;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:23:31.396Z;Varón, Joven;Partido Colorado;-27.3825382,-56.8451715;;Mala;Buena;Jose Mutti;Diego Barreto;Todos
2026-04-13T12:32:04.867Z;Mujer, Joven;Partido Colorado;-27.3840308,-56.8486772;Núcleo 2;;;;;
2026-04-13T12:32:25.831Z;Mayor;Partido Colorado;-27.3865164,-56.8471583;Núcleo 2;Mala;Mala;Jose Mutti;Amarilla;Todo
2026-04-13T12:32:31.134Z;Adulto Mayor, Varón;Partido Colorado;-27.3851235,-56.8477513;Núcleo 2;Mala;Mala;Jose Mutti;Miguel savala;Trabajos
2026-04-13T12:34:25.633Z;Mujer, Mayor;Partido Colorado;-27.3842331,-56.8486884;Núcleo 2;Buena;;Christian Rolon;Ning;Aseo urbano educación vial
2026-04-13T12:35:44.527Z;Mujer, Adulto Mayor;Partido Colorado;-27.3844965,-56.8472121;;Buena;Mala;Christian Rolon;;Todo
2026-04-13T12:40:12.149Z;Mujer, Mayor;;-27.3841679,-56.8469644;Núcleo 2;Muy Mala;Muy Mala;;;Todo
2026-04-13T12:40:20.752Z;Varón, Mayor;Partido Colorado;-27.3844099,-56.8490733;Núcleo 2;Buena;Muy Mala;Jose Mutti;Sra de Caballero;Pago de personal
2026-04-13T12:42:04.446Z;Mujer;Partido Colorado;-27.3861189,-56.8478251;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:43:20.114Z;Mujer;Partido Colorado;-27.3860857,-56.8478616;Núcleo 2;Excelente;Buena;Jose Mutti;;Recolección de basura
2026-04-13T12:43:20.130Z;Varón, Joven;Partido Colorado;-27.3845707,-56.8494675;Núcleo 2;;Buena;Christian Rolon;Beby cardoso;
2026-04-13T12:49:40.605Z;;Partido Colorado;-27.384351,-56.8495671;Núcleo 3;Mala;Mala;;N;Todo
2026-04-13T12:51:43.340Z;Mayor;Partido Colorado;-27.3858146,-56.8471565;Núcleo 2;Buena;Muy Mala;Jose Mutti;Diosnel;Recolección de basura
2026-04-13T12:54:10.454Z;Mujer, Joven;Partido Colorado;-27.3848741,-56.8483451;Núcleo 2;Mala;Buena;Jose Mutti;;Agua
2026-04-13T12:57:21.764Z;Mujer;Partido Colorado;-27.385223,-56.8486539;Núcleo 2;Muy Mala;Muy Mala;Jose Mutti;Barrero;Todo
2026-04-13T12:57:49.847Z;Mujer, Mayor;Partido Colorado;-27.3838275,-56.849283;Núcleo 2;Excelente;Excelente;Jose Mutti;Ninguno;Pago de personales
2026-04-13T13:01:03.409Z;;;-27.3841358,-56.8484997;Núcleo 2;Mala;Mala;Jose Mutti;Ramirez;Salud, hambre
2026-04-13T13:01:27.430Z;Mujer, Mayor;Partido Colorado;-27.3836032,-56.8492647;Núcleo 2;Buena;Buena;Christian Rolon;Ningún;Recolección de basura
2026-04-13T13:03:04.893Z;Joven, Varón;Partido Colorado;-27.3843698,-56.8489832;Núcleo 2;Buena;Muy Mala;Christian Rolon;;Recolección de basura
2026-04-13T13:05:51.526Z;Mujer, Joven;Partido Colorado;-27.3838107,-56.8479798;Núcleo 2;Mala;Buena;;;Recolección de basura, cuidado a las infraestructuras
2026-04-13T13:09:43.712Z;Mujer, Mayor;Partido Colorado;-27.3835573,-56.8487585;Núcleo 2;Mala;Mala;;Ning;Todos
2026-04-13T13:18:53.369Z;Joven;Partido Colorado;-27.3868303,-56.8499807;Núcleo 3;Mala;Mala;;Carlos ramirez;Señalizacion
2026-04-13T13:20:00.226Z;Mujer, Joven;Partido Colorado;-27.3862694,-56.8506917;Núcleo 3;Buena;Mala;Christian Rolon;;Todo
