Timestamp;Datos Demográficos (Seleccione múltiples);¿A qué partido pertenece o tiene afinidad?;Latitud;Longitud;Barrio o Compañía;Calificación: Gestión del Intendente Municipal;Calificación: Gestión del Presidente de la República;Pre-candidatos a Intendente Municipal;Pre-candidatos a Concejal Municipal;¿Qué servicio público debe mejorar la municipalidad?
2026-04-11T18:02:14.274Z;Varón,Joven;Partido Colorado;-27.3872527;-56.8643984;Yataity;Excelente;Excelente;Jose Mutti;Ning;Basura 
2026-04-11T18:02:38.068Z;Mayor;Partido Colorado;-27.3918776;-56.8570139;100;Buena;Buena;Jose Mutti;Sofi;Falta de trabajo
2026-04-11T18:03:18.231Z;Mujer,Mayor;Partido Colorado;-27.391259362170636;-56.858018356542594;Santa Ana;Muy Mala;Muy Mala;Christian Rolon;Ninguno ;Iluminación 
2026-04-11T18:04:43.859Z;Mujer;;-27.3919414;-56.8566399;100;Buena;Mala;Christian Rolon;;Todo 
2026-04-11T18:05:45.827Z;Mujer,Joven;Partido Colorado;-27.387259;-56.8642477;Yataity;Buena;Buena;Christian Rolon;N;Basura humo
2026-04-11T18:06:22.621Z;Mayor;Partido Colorado;-27.3919094;-56.8566187;100;Muy Mala;Muy Mala;Gabriel Alfonso;Jose gimenez;Todo
2026-04-11T18:08:13.567Z;Varón,Joven;Partido Colorado;-27.39084813918871;-56.85756097651701;Santa Ana ;Mala;Buena;Christian Rolon;Miguel MArin ;Camino 
2026-04-11T18:08:24.625Z;Mujer,Mayor;Partido Colorado;-27.3871182;-56.863616;Yataity;Mala;Mala;Christian Rolon;Luis cuellar;Agua
2026-04-11T18:09:33.925Z;Varón;Partido Colorado;-27.3907891;-56.8569741;100;Mala;Muy Mala;Jose Mutti;Carlos ;La iluminación 
2026-04-11T18:12:36.416Z;Varón,Mayor;Partido Colorado;-27.390587101676065;-56.857373370800595;Santa Ana ;Mala;Muy Mala;Jose Mutti;Ninguna ;Agua 
2026-04-11T18:14:42.287Z;Varón,Mayor;Partido Colorado;-27.3872072;-56.8625858;Yataity;Mala;Mala;;;
2026-04-11T18:15:19.133Z;Varón,Mayor;Partido Colorado;-27.390677275791088;-56.85724560334454;Santa Ana ;Mala;Mala;Jose Mutti;Sofia Troche ;Recolección de basura 
2026-04-11T18:18:03.738Z;Mujer;Partido Colorado;-27.3904974;-56.8569823;Santa Ana;Muy Mala;Muy Mala;Jose Mutti;Sofi;Agua potable
2026-04-11T18:18:39.622Z;Mujer,Mayor;Partido Colorado;-27.39057270123674;-56.85716673695742;Santa Ana ;Mala;Muy Mala;;Ninguna ;Camino 
2026-04-11T18:18:46.748Z;Mujer,Mayor;Partido Colorado;-27.3873417;-56.8631542;Yataity;Mala;Muy Mala;;Sofia Troche;Agua
2026-04-11T18:18:55.308Z;Mujer,Mayor;Partido Colorado;-27.3873947;-56.8619433;Yataity;Muy Mala;Mala;Jose Mutti;Arnildo Bernal;Camino vecinal
2026-04-11T18:25:09.115Z;Varón;Partido Colorado;-26.8898279;-56.8514267;;Excelente;Excelente;Ninguno;N;
2026-04-11T18:25:22.261Z;Mujer;Partido Colorado;-27.3903947;-56.8566395;Santa Ana;Mala;Muy Mala;Gabriel Alfonso;;Agua potable 
2026-04-11T18:26:47.407Z;Varón,Mayor;Partido Colorado;-27.390431572250122;-56.85657000023172;Santa Ana ;Mala;Muy Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T18:27:03.690Z;Varón,Mujer,Mayor;Partido Colorado;-27.3876335;-56.8624865;Yataity;Buena;Mala;Christian Rolon;William Rodriguez ;Agua
2026-04-11T18:29:18.252Z;Varón;Partido Colorado;-27.3904187;-56.8557425;Santa ana ;Mala;Mala;Jose Mutti;Marin;Agua potable 
2026-04-11T18:29:31.121Z;Varón,Mayor;Partido Colorado;-27.390318756353597;-56.85625560580597;Santa Ana ;Mala;Mala;;Ninguno ;Agua 
2026-04-11T18:29:40.058Z;Varón,Mayor;Partido Colorado;-27.3876085;-56.8614375;Yataity;Muy Mala;Muy Mala;Christian Rolon;;Agua
2026-04-11T18:29:54.775Z;Varón,Mayor;Partido Colorado;-27.3872074;-56.8639445;Yat;NS/NR;NS/NR;Jose Mutti;Sofia Troche;
2026-04-11T18:31:54.022Z;Varón,Mayor;Partido Colorado;-27.3877455;-56.8648868;Yataity;Buena;Buena;Christian Rolon;Ning;Caminos
2026-04-11T18:32:08.950Z;Mujer,Mayor;Partido Colorado;-27.3872311;-56.8612082;Yataity;Mala;Mala;Christian Rolon;WILLIAN AQUINO ;Agua
2026-04-11T18:33:11.082Z;Mujer,Joven;Partido Colorado;-27.39021000226267;-56.8560579845082;Santa Ana ;Mala;Mala;Jose Mutti;Ninguno ;Agua 
2026-04-11T18:38:26.812Z;Mujer;Partido Colorado;-27.3897718;-56.8558318;Santa ana ;Muy Mala;Muy Mala;Jose Mutti;;Alimentación escolar 
2026-04-11T18:41:23.737Z;Mayor;Partido Colorado;-27.3897576;-56.8561817;Santa Ana;Mala;Buena;;;Salud
2026-04-11T18:52:07.454Z;Varón,Adulto Mayor;Partido Colorado;-27.3792029;-56.8451088;Sirena ;Mala;Buena;Jose Mutti;CACERES;Fuente trabajo 
2026-04-11T18:52:27.124Z;;Partido Colorado;-27.3796291;-56.843838;Sirena;Muy Mala;Muy Mala;;Denis dior;Todo
2026-04-11T18:53:12.377Z;Mujer,Joven;Partido Colorado;-27.37903236459584;-56.84419006472278;Sirena ;Mala;Muy Mala;Christian Rolon;Edgardo Villalba ;Recolección de basura 
2026-04-11T18:55:36.521Z;Mujer,Joven;Partido Colorado;-27.378869;-56.844919;Sirena;Mala;Buena;Jose Mutti;;Trabajo
2026-04-11T18:55:51.351Z;Mujer,Mayor;Partido Colorado;-27.378802507236607;-56.84411005941506;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T18:55:53.377Z;;Partido Colorado;-27.3796584;-56.8432053;Sirena;Mala;Mala;Jose Mutti;;
2026-04-11T18:56:44.425Z;Mujer,Joven;Partido Colorado;-27.3788806;-56.8462985;Sirena;Buena;Buena;Jose Mutti;Shirley Dioff;Apoya a emprendedores
2026-04-11T18:57:47.762Z;Varón,Mayor;Partido Colorado;-27.378863874493444;-56.844139878204935;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T18:59:25.876Z;;Partido Colorado;-27.3797502;-56.8420503;;Buena;Muy Mala;Jose Mutti;Hugo ramirez;Todo
2026-04-11T19:00:26.239Z;Mujer,Mayor;Partido Colorado;-27.3782882;-56.8446613;Sirena;Buena;Buena;Jose Mutti;Elias Leguizamon;Agua
2026-04-11T19:00:27.312Z;Mujer,Joven;Partido Colorado;-27.3792488;-56.8468371;Sirena;Buena;Excelente;Christian Rolon;Ninguna ;Centro de salud 
2026-04-11T19:03:34.132Z;Mujer,Mayor;Partido Colorado;-27.3784295;-56.8446692;Sirena;Muy Mala;Muy Mala;Jose Mutti;William Aquino ;Caminos vecinales 
2026-04-11T19:04:35.615Z;Varón,Mayor;Partido Colorado;-27.377965885404585;-56.84390526574191;Sirena ;Mala;Muy Mala;Jose Mutti;Ninguno ;Recolección de basura 
2026-04-11T19:06:03.058Z;Mujer,Joven;Partido Colorado;-27.3782805;-56.8463112;Sieena;Buena;Mala;Jose Mutti;Elias Leguizamon;Los caminos 
2026-04-11T19:06:08.351Z;Varón,Mayor;Partido Colorado;-27.3782386;-56.8445082;Sirena;Mala;Muy Mala;Jose Mutti;WILLIAN RODRIGUEZ;Agua
2026-04-11T19:07:50.460Z;Varón,Mayor;Partido Colorado;-27.37766249763766;-56.84367496268459;Sirena ;Mala;Muy Mala;;Ninguno ;Camino 
2026-04-11T19:08:58.137Z;Varón,Mayor;Partido Colorado;-27.3783646;-56.8462043;Sirena;NS/NR;NS/NR;;Ninguna ;Baches agua 
2026-04-11T19:11:08.858Z;Mayor;Partido Colorado;-27.3782013;-56.8463381;Sirena;Mala;Mala;Jose Mutti;Ninguna ;Fuente de trabajo y pago de sueldo
